producers,directors
[],['12101980']
"['2279718', '0263682', '2317764', '0800878']","['2568991', '2259596', '2812744']"
"['2113771', '0098147', '0098153', '0273429', '0273327', '1565106', '1367962', '1576507', '1368240']",['0123931']
"['4287438', '0228147', '0975187', '1098194', '0650038', '0676301', '0787420', '0787439', '2312303', '2311450', '2305757']","['0048519', '0289065', '2313736']"
"['12893375', '1907937', '0436606', '0463582', '5696713', '12893376', '0782848', '1780256']",['0157363']
"['1140687', '1144191', '0316552', '0828966', '3600574', '1246111']",['0316552']
"['3072693', '2097733', '0434393', '1015241', '0555470', '4068674', '1989445']",['0396074']
"['5161650', '2628007', '2806170', '2804491', '2629341', '0432966', '2805950', '0452757', '0473539', '5436084', '0559645', '0605303', '2051757', '2626659', '4915878', '5435093', '2625837', '2631318', '2809048', '8146775', '6271409', '0945669', '0948980']","['0951197', '4383805']"
"['2626794', '1189002', '2113634', '2153956', '2423264', '2423959', '2423855', '2631900']",['2423855']
"['0065376', '1164908', '0361610', '0609265', '0643372', '1174402', '0861997']",['0631093']
"['0017285', '0158800', '0204884', '0269621', '0324556', '0000158', '0424279', '0575858', '0768338', '0788737', '2100078']",['0204884']
"['1297907', '1749066', '2055761', '0690695', '1385342', '0840699']",['2066439']
"['1037838', '0701255']",['1350006']
"['0266484', '1075038', '0459996', '1040781', '1668062', '1637852', '0907174']","['0459996', '1637852']"
"['1703746', '0176443', '1085316', '2993952', '0550455', '0550708', '0644203', '1026930', '0685597']",['0644203']
[],['1479700']
['1496535'],['1347157']
[],['0794000']
"['0013261', '1646304', '0626697']","['0497174', '1033761']"
"['0054358', '1292556', '1292787', '1105635', '1469546', '1272611', '1618684']",['1292787']
['2317499'],['2317499']
"['2495251', '1015241', '4115116', '2492286', '12030028', '0847692', '5648302']",['0464804']
"['2463996', '2566495', '0382375', '1837907', '0539516', '2461883', '1038022', '0651692', '2566456', '0689871', '2460821', '2566538', '2566489', '1713111', '2581215', '2465721']",['0405038']
"['1079522', '2340684', '1213129', '0557897', '2341403', '1224835', '1787244']","['0373798', '0478172']"
