producers,directors
"['0008859', '0038801', '2004225', '0114705', '1094748', '0164180', '1124979', '0372329', '0404991', '0451035', '2510751', '0001659', '0716106', '0864128']","['0103595', '0001659', '0820800']"
['2205099'],['1406025']
[],"['5471358', '4395285', '5470909', '5471567', '4396011', '5470858', '5471309', '5471556', '5471509', '1847984']"
['5883319'],"['6009543', '5883319']"
"['0698228', '0745199']","['0652847', '0698228']"
['0612465'],['0612465']
"['1199159', '0461255', '0481075', '2278447', '1281315']","['0093209', '1333861', '2806644', '1335357']"
"['0137811', '0371602', '0432788', '1364036', '1558946', '0613740']","['0021249', '0191717', '0820934']"
"['1375465', '2507310']",['0408051']
"['0030417', '0409279', '1170712']","['0030417', '0875453']"
"['1108620', '0006791']","['0769405', '1182771']"
[],['0632716']
"['1577658', '0635954']",['1577658']
"['2416660', '1257504', '3331138', '2817116', '9851648', '1259616', '2420299', '0879909', '2415296', '1857377']",['0034712']
"['1257214', '0469472', '0520485', '0670425', '0819862']","['0101047', '0271402']"
"['1298112', '1302985']",['3804490']
"['3065683', '3065557', '1160235', '1985693', '3065539', '3065891']",['1543907']
"['1656397', '2030492', '1227430', '2247998', '2432913', '1306173', '0712455', '0999999']",['0597963']
['0180664'],['7800397']
"['1531117', '4125555', '1920132', '0709349']","['1534594', '0073297']"
"['0092001', '0881095']",['0532634']
[],['6609451']
"['0075732', '0121694', '0171253', '0274993', '1602154', '0372544', '0428000', '0461997', '0587964', '0004306', '0593294', '0606688', '0620502', '1501479', '2468778']","['0004306', '0171253', '0606688']"
"['0003569', '0088949', '1883268', '1505852', '0361425', '1715652', '1236452']","['1888232', '0631068', '0675616', '0959746']"
['2425290'],['2425290']
"['0000108', '1168660', '1217048', '0699547']",['0000108']
"['2512967', '2256843', '1206411', '1454010', '1721787', '1536249', '1428647', '1803236', '0410237', '0436901', '0441546', '1636143', '0650973', '1208548', '0845563', '1041610', '1238966', '1627417', '1453759', '1207814', '2527986', '0930964', '1803681', '2256499']","['0092959', '0438394', '0862911', '0040404']"
"['3759954', '8397408', '0353702', '11706401', '2289527', '11706403', '11706404', '1251784', '3834107', '0638105', '1863785', '0793607', '0837557', '1701493', '4773652', '1426181', '2838056', '2770587', '11706402', '2991381']",['0994244']
"['8146781', '1244803', '2935148', '1257504', '0437175', '0473539', '5530790', '7327731', '0645817', '11895422', '0793607', '12492438', '2823190']",['2458273']
"['5528523', '2530124', '1300063', '2187673', '0958766']",['1300063']
"['0275888', '12264297']","['1007740', '0431908']"
"['3056240', '2477469']",['3056476']
"['1298429', '0358130', '0779674', '0935829']",['0314250']
"['1509177', '0992474', '1539281', '0000458', '0421249', '0006513', '0722636', '1867671']",['1509177']
['0884054'],"['0884054', '3179970', '0798243']"
['2041897'],['1278058']
[],[]
[],['0372919']
"['2238428', '0142792', '2514152', '0306398', '2055719', '0695046']",['0695046']
['2488902'],['2488902']
"['0562531', '0888614']",['1509886']
"['4934000', '8618503', '12262257', '3013105', '8618504', '8618502', '3589774', '8020079']",['1090408']
"['2022286', '2036183', '1565095', '0952464']",['1565095']
"['2486772', '2414830', '0885722', '0888128', '0909869', '0959109']",['0681617']
['0180664'],['7581542']
['0180664'],['7581542']
['2352558'],['0180664']
"['1027050', '0143663', '1406317', '0587997', '1203810']","['0023317', '0129219', '0143663', '0191943', '1818040', '0396317', '0448748', '1040532', '0528158', '0674919', '0916798', '0368029']"
"['2581916', '2110492', '2212098', '0537350', '3129223', '0998187']","['0211725', '2560441', '2564696', '2157705']"
[],['2310701']
[],"['1568761', '1485893', '1431208', '1773581', '1486582', '1773592', '1464497', '1773600', '1773608']"
"['1666467', '0326505', '0414734']","['1910030', '2568271']"
['3202659'],['3202659']
['0180664'],['1388924']
"['0119521', '0148830', '0174717', '3093051', '2560006', '1032666', '3092460']","['2560006', '2559937']"
"['1645221', '1109300', '3356206', '0496556', '1396121', '3341279']",['1396121']
"['2909964', '1211903', '0645447', '2325764', '3445653', '4773652', '2838056', '1302888']",['0408077']
['0180664'],['7581542']
"['2942457', '3070794', '2906903', '2243434', '3070577', '3069337']",['3071876']
"['1055014', '1458314', '0515510', '0721097', '1138341', '0958744']",['1353170']
[],"['2241782', '0766218']"
"['2951215', '2041897', '1863785', '1618433', '11875055', '4151154', '11875056', '0875223', '11875054', '2006996']",['0595101']
"['2302475', '0164180', '1318858', '0336978', '1890246', '1882491', '0481990', '1889393', '0907742', '0911002']",['1083489']
"['0081599', '1857088', '2627610', '2629739']",['0510497']
"['0096115', '0431622', '0481352', '0005124', '1545668', '1192875', '0825733', '2885121']",['0027459']
[],['0408006']
[],['0331819']
"['3578875', '4056818']",['3650142']
"['0188443', '0250080', '0408829', '0494020', '0537410', '0740076', '0932302']","['0537410', '0932302']"
"['2530124', '1300063', '2187673', '0958766']","['0958766', '1300063']"
"['1349592', '1319039', '4494527', '2277454', '1997658', '4653971', '4650391', '1046088', '4626844', '2961904', '4196813', '2890926']",['0913869']
[],['0945506']
"['0099716', '0078943', '0198755', '0471097', '1837063', '0824361']",['0198755']
"['0386185', '2059406', '2499031', '4735036']",['0386185']
"['2562102', '2729840', '2865677']",['2077396']
"['0011470', '1660846', '0912403', '0930964']","['1844237', '0401203']"
"['0711403', '0877991']",['0877991']
"['0104932', '2205284', '0688897', '1158203', '0954874']",['0312881']
['0049082'],[]
"['3047746', '1406583', '1283073']",['1284237']
"['1193981', '2185403', '0005086', '2275877', '2274042']","['1749112', '2277869']"
"['0098647', '1074134', '1364036']","['0105169', '0118333']"
"['0097192', '0104068', '0651247', '0806973']","['0104068', '0375997']"
['0110333'],"['0368645', '0617960']"
"['1055036', '0094286', '1837026', '2549210', '0225679', '2327252', '0325320', '1837046', '0546809', '1493950']","['2093636', '2546002']"
"['0098153', '2940530', '0223900', '0302858', '2719108', '1367962', '0856524', '3436435', '0893556']",['0123931']
[],['11528965']
"['0005124', '0506977', '0004056', '0839877']","['0083348', '0684342']"
[],['0331819']
"['3709005', '6520691', '6288599']",['2710488']
['3064682'],"['1357022', '0298033', '2563124', '0632402', '0442828', '0454114', '0535340', '0605479', '0620450', '0849077', '0913860', '0945297', '0648955', '1482702']"
['2699146'],['2699146']
"['8397408', '8397409', '2629341', '1251784', '8397410', '2805950', '0452757', '0473539', '5436084', '3046679', '0605303', '2051757', '4915878', '2625837', '2631318', '2809048', '4371294', '2277296', '8146775', '6271409', '0945669', '0948980', '4370574']",['0951197']
"['2198364', '2704077', '2704359', '1919863', '2698851', '2701384', '1351711', '2703406', '2705405', '1965982', '2701961', '1047252']",['1104993']
['0098153'],['1020310']
"['1409955', '0000985', '1804707', '2737405', '0004981', '0419830', '0441656', '0458544', '0476669', '0588704', '1897743', '0620552', '0649629', '0713497', '0757017', '0780288', '0793802', '2840426', '1364559', '1413695', '0889407', '1408329']",['0798899']
[],['0463628']
"['2238452', '2701790']",['2238452']
"['2903891', '0837557']",['1060975']
[],[]
"['1037430', '1211903', '0357319', '1037557', '0568772', '0620457', '2712241', '2708148']",['1216495']
"['2010696', '4312109', '2463996', '0220465', '1419206', '0517310', '1416404', '0689871', '0754678', '2566489', '2465721', '0936061']",['0230669']
[],['1145578']
[],['5288654']
"['1037430', '1211903', '1037557', '0568772', '0653004', '8673221']","['0556094', '0875453', '0030417']"
[],['0331819']
"['3129880', '0273429', '0273327', '1244658', '0969535', '1160071', '1565106', '2774709']","['2348224', '1159646']"
"['2384784', '2096462', '2396617', '1328180']",['0875056']
"['1092332', '0496556', '2981558', '1664401', '3445653']",['0223411']
"['2272176', '2165161', '2768720', '0555410', '0595532', '1534631', '0740603', '2265756', '1343690', '2098552']","['2272176', '2165161', '2768720', '0555410', '0595532', '1534631', '0740603', '2265756', '1343690', '2098552']"
"['1607274', '2486772', '0393148', '2750559', '0459831', '0753651', '2130173', '1500862']","['1389969', '0836763']"
[],['0442828']
"['3072693', '0590915']",['1622836']
"['0059814', '1199513', '1925957', '2138159', '1990780', '0681247', '1162834', '0907616', '0929771']","['1199513', '0681247']"
"['0142792', '2055719', '2313391', '2301682', '1038878']",['1038878']
"['2617978', '2836276', '1645959', '2612510', '2614543']",['1645959']
"['1338869', '0544307', '1198791', '1001590', '1948586', '1281403', '0955283']",['1340911']
"['5816669', '5816668']",['0417144']
"['0011850', '0142343', '0438223', '0649346', '1822660', '0946003']",['0438223']
"['0036155', '1164908', '1032539', '1156745']",['0293901']
"['0045730', '0093906', '0095796', '1691401', '0181046', '0322054', '2615430', '0563857', '0834935', '2636519', '2608351', '0944747', '1937792']","['1860603', '0834935']"
"['3414339', '8977982', '8977995', '8977983', '1209068', '8977989', '8977990', '1203787', '8977996', '3271324', '3413723']",['3271324']
"['10880395', '0153724', '0430742', '1931042', '0613611', '0673858', '0727637', '0733856', '2050997', '0001756', '0842470']",['0510674']
"['0151835', '2674901', '0175154', '2965355', '2965877', '0863247', '0879956', '2966237', '0000247']",['0032925']
"['1178284', '0409230', '0766682', '0815739']",['0157337']
"['1165365', '1651908', '1628503', '1335650']","['2198215', '0122615', '1333375', '2234841', '0560434', '1332672']"
"['0125340', '3488245', '5980018', '5980017']",['0125340']
"['3505686', '1015241', '6517256']",['0466901']
"['0378660', '0907174']",['0378660']
"['1581999', '3214934', '3184056', '2543034', '3221570', '3209358', '3721273']",['2543034']
['3236067'],['1196263']
"['0000632', '0825730', '0829091', '0842616']","['0971239', '9054338']"
['3554894'],['3554894']
"['2522309', '2772668']",['0008636']
"['4362420', '4362375']",['0482592']
"['2722203', '9069570', '7951585']",['7951585']
"['0000812', '0101921', '1219266', '0301274', '0520083', '0572137', '4900398', '0710759', '0787265', '0823330', '0865014', '0000709']",['0000709']
"['6059657', '1275800', '6059653', '0746357', '6059642', '0812522']","['0739485', '1253076', '4145551', '6059656', '6059649']"
[],['0180664']
[],['2518819']
"['0019040', '1568526', '0170402', '0273429', '0273327', '0549122', '1160071', '1565106', '2985682']",['1160071']
"['1206411', '0236026', '1380271', '0559070', '1162021', '0753921', '1208548', '1008258', '2331829', '0853131', '1207814']",['1217062']
"['0007317', '3102380', '0392324', '2417180', '0557897', '2748048', '1925807', '1787244']","['0503497', '0617960', '0845660']"
['2751247'],['2745592']
"['4871623', '0497546', '2972110', '5581705', '1709238']",['1709238']
"['3471784', '7993111', '2008470', '3309461', '2137662', '3834107', '4897495', '2193038', '3878600', '0879922', '2021169', '0949082']",['2273522']
"['0238941', '1148849', '0969535']",['0419829']
['2667897'],['3071360']
"['0046559', '0408254', '0439739', '0586969', '0659334', '1651942', '0914014']",['0384722']
"['1257504', '3539722', '0442930', '1912341', '3541030', '3528900', '0645817', '3541121', '3531683']",['2458273']
"['4115082', '1076002', '1514214', '8397408', '3870565', '0353702', '11706401', '2289527', '11706403', '11706404', '1181626', '7245379', '6581195', '3834107', '0638105', '1863785', '4228702', '4370920', '0793607', '0837557', '3965398', '1701493', '4773652', '2838056', '2770587', '5808540', '2991381']",['0994244']
"['2321641', '2866285']",['0855681']
"['11703968', '2355692', '3554228', '3077616', '8193307', '1015241', '0555470', '2649179', '11703969', '11703970', '2434618', '5500645', '4151154', '11703972', '11703971', '4773652', '7458392', '0875321', '2006996']",['0837485']
"['4181782', '2887982', '2388513', '1247172', '1691222']",['1365432']
"['11703968', '2355692', '3554228', '3077616', '8193307', '1015241', '0555470', '2649179', '11703969', '11703970', '12544085', '4151154', '11703972', '11703971', '4773652', '7458392', '0875321', '0879814', '2006996', '12229706']",['0368674']
"['1837026', '2777394', '0303034', '0165507', '1837046', '0531369', '0562775', '12717635', '0661549', '1493950', '0823721', '0887263']","['0823721', '0562775']"
"['7118238', '7118239', '7118237', '1150149']",['6183836']
"['2176241', '0474897', '3042580', '2868595', '1768461']",['0440604']
"['1650390', '0783652']",['2932959']
"['3309461', '2137662']",['1939216']
"['3290480', '3272406', '3291506', '3272524', '3272353', '3291023', '3290858']",['0994245']
[],"['2430773', '2731889', '2141257', '1743318', '2418295', '2428803', '0830879', '2434921', '2429966', '1785705']"
[],"['0847187', '0855380']"
[],['1875910']
[],['6096731']
"['0382375', '0539516', '1038022']",['0125340']
['2324597'],"['6444665', '2999579']"
"['0092001', '0881095']",['0263244']
[],['0180664']
"['1155309', '0745199']","['0745199', '0902741']"
[],['10214618']
"['0172878', '1327105', '3893252', '1007740', '2391460', '1557666', '1369906', '1008415']",['1007740']
"['0157799', '0159507', '0161045', '0359189', '0463674', '0793006', '1408306']",['0159507']
"['0062186', '0192032', '0343799', '0424679', '1628527', '2619228', '0743733', '1485551', '3294667', '1577241']",['0480349']
[],['0268741']
"['3309461', '2137662']",['2867423']
['1315434'],['1315434']
[],"['2019707', '4515899']"
[],[]
[],"['1915499', '2241782']"
"['0645447', '4052240', '2325764', '3445653', '4773652', '2838056']",['2293309']
"['1512524', '0972213', '2003296', '0577560', '0917188']","['0371755', '0553942']"
"['3093058', '3092864']",['3093058']
['2906903'],['2268014']
['2941271'],['2941797']
['2186168'],['11035159']
[],['4286465']
"['0046004', '0170402', '0207716', '2340684', '2864129', '2341403', '1142652', '2563766']","['0412247', '0704588']"
[],"['1957706', '0119349', '2257265', '1438228', '0344897', '1029876']"
['3942434'],['3942434']
"['1095510', '0225830', '1424759', '1615290']","['1424755', '1425747']"
"['0222601', '1509218', '0399520', '1839607', '0649346', '2347864', '2197848', '0806473']",['0399520']
"['0048519', '0233921', '0299564', '0378229', '2456892', '0469813', '1303812', '0918424', '0005544']","['0048519', '0299564']"
"['2760588', '5794233']",['2760588']
"['1806449', '1272773']",['3458096']
[],['2002677']
"['1354216', '2713790', '0050020', '1358368']","['1354216', '1355835']"
"['0150141', '1890467', '2511054', '0350674', '1213238', '2506960', '0539750', '0802005', '0802668']","['0350674', '1258724']"
['2790185'],['2790185']
['3842498'],"['3842626', '3842127', '3842295', '3842370', '3842008', '3842306', '3842580', '3842189']"
[],['0945506']
[],['0594084']
['1872085'],['1872085']
"['3236940', '1895831', '3236421']",['1895831']
"['0431918', '0562110', '0596867']","['2669339', '2564573', '1396934', '0687739', '0702792', '0777989', '0874434', '2565045']"
"['1385893', '0687739', '3076470']",['0687739']
"['0459996', '0609265', '1637852', '0861997']","['0459996', '1637852']"
"['0008743', '0074184', '0167795', '0198632', '0650038', '0715534']","['0651706', '0828970']"
['0573976'],['3061347']
"['2227706', '2161052']",['2227706']
['5965232'],['0801870']
"['3309461', '2137662']","['2014132', '0847667']"
"['1079521', '2084479', '2503512']","['1549488', '0605186', '1353402', '2011490', '1311376', '2593468']"
[],"['3989978', '3986674', '3989384', '3989926', '3990692', '3990562', '4022951', '3989404']"
